Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,zscore
255,Tre Jones,PG,23,SAS,68,65,29.2,5.0,10.9,0.45899999999999996,0.7,2.3,0.285,4.4,8.6,0.506,0.489,2.2,2.5,0.86,0.8,2.8,3.6,6.6,1.3,0.1,1.6,1.4,12.9,2.247919481431702
539,Ivica Zubac,C,25,LAC,76,76,28.6,4.3,6.8,0.634,0.0,0.0,0.0,4.3,6.7,0.637,0.634,2.2,3.1,0.6970000000000001,3.1,6.8,9.9,1.0,0.4,1.3,1.5,2.9,10.8,2.2279985730456886
483,Jonas Valan?i?nas,C,30,NOP,79,79,24.9,5.6,10.3,0.547,0.5,1.4,0.349,5.2,8.9,0.5770000000000001,0.57,2.3,2.8,0.826,2.8,7.3,10.2,1.8,0.3,0.7,2.0,3.1,14.1,2.1650241687880944
123,Spencer Dinwiddie,SG-PG,29,TOT,79,79,34.5,5.8,13.3,0.43799999999999994,2.3,6.2,0.369,3.5,7.1,0.498,0.524,3.4,4.2,0.812,0.4,3.1,3.4,6.5,0.8,0.3,1.8,2.4,17.3,2.1549321583163454
84,Wendell Carter Jr.,C,23,ORL,57,54,29.6,5.6,10.8,0.525,1.4,3.9,0.35600000000000004,4.2,6.8,0.624,0.591,2.5,3.4,0.738,2.1,6.6,8.7,2.3,0.5,0.6,1.9,2.8,15.2,2.104959709218755
379,Kelly Oubre Jr.,SF,27,CHO,48,40,32.3,7.4,17.1,0.431,2.3,7.1,0.319,5.1,10.0,0.51,0.49700000000000005,3.3,4.3,0.76,1.4,3.8,5.2,1.1,1.4,0.4,1.3,2.9,20.3,1.9896740289545176
209,Buddy Hield,SF,30,IND,80,73,31.0,5.9,13.0,0.45799999999999996,3.6,8.5,0.425,2.3,4.5,0.518,0.596,1.3,1.6,0.8220000000000001,0.8,4.2,5.0,2.8,1.2,0.3,1.7,2.0,16.8,1.9120275936487383
491,Franz Wagner,SF,21,ORL,80,80,32.6,6.8,14.0,0.485,1.6,4.5,0.361,5.2,9.5,0.544,0.5429999999999999,3.4,4.0,0.8420000000000001,0.9,3.2,4.1,3.5,1.0,0.2,2.1,2.3,18.6,1.8464846637626262
486,Devin Vassell,SG,22,SAS,38,32,31.0,6.9,15.7,0.439,2.7,7.0,0.387,4.2,8.7,0.48,0.525,2.1,2.6,0.78,0.2,3.7,3.9,3.6,1.1,0.4,1.5,1.5,18.5,1.8127023302122494
300,Kyle Lowry,PG,36,MIA,55,44,31.2,3.6,8.8,0.40399999999999997,1.9,5.6,0.345,1.6,3.2,0.509,0.514,2.1,2.5,0.8590000000000001,0.8,3.3,4.1,5.1,1.0,0.4,1.9,2.6,11.2,1.7377454919120854
